ShelfNo,X,Y,Width,Height,Map
"Main Floor"
14,142.6,745,56,9.1,0
15,142.6,745,56,9.1,0
11,127.4,721.2,71.3,9.1,0
10,127.4,721.2,71.3,9.1,0
7,127.4,697.5,71.3,9.1,0
6,127.4,697.5,71.3,9.1,0
3,127.4,673.7,71.3,9.1,0
2,127.4,673.7,71.3,9.1,0

"Concourse Floor"
85,588.5,121.7,60.6,7.5,1
90,588.5,121.7,60.6,7.5,1
79,564.2,121.7,60.6,7.5,1
84,564.2,121.7,60.6,7.5,1
73,539.8,121.7,60.6,7.5,1
78,539.8,121.7,60.6,7.5,1
67,515.5,121.7,60.6,7.5,1
72,515.5,121.7,60.6,7.5,1
61,494.3,121.7,60.6,7.5,1
66,494.3,121.7,60.6,7.5,1
NULL,Missing,Missing,Missing,Missing,NULL
86,574.9,226.1,87.7,7.5,1
89,574.9,226.1,87.7,7.5,1
80,550.6,226.1,87.7,7.5,1
83,550.6,226.1,87.7,7.5,1
74,526.2,226.1,87.7,7.5,1
77,526.2,226.1,87.7,7.5,1
68,501.9,226.1,87.7,7.5,1
71,501.9,226.1,87.7,7.5,1
62,480.8,226.1,87.7,7.5,1
65,480.8,226.1,87.7,7.5,1
57,456.4,226.1,87.7,7.5,1
60,456.4,226.1,87.7,7.5,1
53,411,226.1,87.7,7.5,1
54,411,226.1,87.7,7.5,1
51,386.6,226.1,87.7,7.5,1
52,386.6,226.1,87.7,7.5,1
49,362.3,226.1,87.7,7.5,1
50,362.3,226.1,87.7,7.5,1
47,341.2,226.1,87.7,7.5,1
48,341.2,226.1,87.7,7.5,1
45,316.8,226.1,87.7,7.5,1
46,316.8,226.1,87.7,7.5,1
43,293.7,226.1,87.7,7.5,1
44,293.7,226.1,87.7,7.5,1
41,269.4,226.1,87.7,7.5,1
42,269.4,226.1,87.7,7.5,1
39,248.3,226.1,87.7,7.5,1
40,248.3,226.1,87.7,7.5,1
37,223.9,226.1,87.7,7.5,1
38,223.9,226.1,87.7,7.5,1
